         i         j       pij       pji
        26         3       -10       -10
        25         7    -158.5   -100000
        29         5         0         0
         7        12    -406.6   -100000
        14        11         0         0
        16        46         0         0
        10         3         0         0
        13         8    -400.3     295.9
        30        41     122.8   -100000
        12        35         0         0
        16        40       -10       -10
        29        44         0         0
        14        15         0         0
        27        47     196.7   -100000
        24        36       -10       -10
        35        20    -643.7   -100000
        31        12     772.1   -100000
        20        37       -10       -10
        35         3    -219.9     161.5
        21        34    -755.6    -738.1
        47         3       -10       -10
        18        27       -10       -10
        50        40    -602.2    -306.8
         8        37         0         0
        29        23    -133.4      -7.2
        38        26     331.7   -100000
        42        24         0         0
        33        42         0         0
        41         3     127.7    -193.9
        43        23         0         0
         4         1       -10       -10
        19        30    -192.3   -100000
        12        32       -10       -10
        45         3       598   -100000
        15        35     490.4    -490.9
        28         7       248    -334.6
        17        13       -10       -10
        34        19         0         0
         3         2     204.9   -100000
        18        29     138.8    -169.4
         7        39    -656.7   -100000
        27        36    -164.5   -100000
        23        50       -10       -10
        42        49     385.5    -387.1
        18        48         0         0
         4        14      -474   -100000
        24        22     282.4   -100000
        37         6      32.3   -100000
         9        37       -10       -10
