         i         j       pij       pji
        17         9       5.4    -125.5
        19         7    -646.9    -148.8
        13         1    -197.4      35.6
         9         7    -105.8    -272.6
         8         6     -35.4    -256.4
        19         8       -89      32.3
        22        10      -551     393.6
        17        21      60.8    -316.1
         4         2      -443     380.4
        10        14      93.1    -619.1
        14        21    -391.5     294.3
         2        14     545.4    -699.1
        18         6    -158.5    -201.7
        16         6      35.1    -261.4
         1        16    -440.5     146.7
         5         3    -828.9    -273.9
        25        14      -5.5     -63.5
        20        13      77.9    -127.8
        23         1     317.1    -319.4
         3        24      -422    -812.8
         7         5     325.3    -437.9
        12        24    -776.1     535.6
        15         4     395.9    -509.5
        11        18     138.3    -297.5
