         i         j       pij       pji
        37         5      -753       677
        49        13         0         0
        14         2     327.3   -100000
        43        17     228.5    -284.4
        41        38       -10       -10
        10        32         0         0
         4        39       -10       -10
        44        40       -10       -10
        32        35         0         0
        38         7     -94.1    -322.7
        42        32         0         0
        43        27       -10       -10
        36        44         0         0
        43        47    -497.9   -100000
        47         1    -148.5    -919.9
         2         9       -10       -10
        42         3       -10       -10
        26        34    -259.9   -100000
        13        31    -287.4   -100000
        14        15     237.3    -386.6
        34        35         0         0
        26        33    -685.6     663.8
        43        20     304.1   -100000
        25        31       -10       -10
         8         4       -10       -10
        23        34     -19.5    -174.6
        31        24       175   -100000
         9        27     -37.9   -100000
        10        22    -265.1      44.8
        12         4       -10       -10
        33        25     435.9    -444.8
        47        37       586   -100000
        12        31     -18.9      13.5
        36        12     145.3    -202.8
        22        30         0         0
        46        22       -10       -10
        11        35      50.6   -100000
        42        16    -101.3      54.4
        16        29       -10       -10
        47        39     291.3    -350.5
        10        19       -10       -10
         4        28         0         0
        50        40         0         0
         5         7         0         0
        45        39       -10       -10
        48        34    -254.5     123.4
         6        18         0         0
         6        13       -10       -10
         4        21     -70.8   -100000
