         i         j       pij       pji
        40         9      -5.1     -16.9
        13        83    -118.4      77.6
        91        49     -58.2      55.3
        99        94      -0.4     -34.6
        92        43      87.2    -106.6
        91        74     -37.9      -1.8
        24        62    -120.4      93.4
        70         5    -165.9       133
        66        41     -43.3      16.1
        23        45     -31.9       7.4
        45        93     111.9    -163.5
        38        32      48.8       -57
        26        51     -50.4        36
        24        70      26.6     -58.6
        31        23      -0.8      -6.4
        80        56     -90.8      47.6
        96        15     -87.1      56.7
        59        89      84.2    -104.2
        33       100     101.9      -119
        83        60      90.7    -124.9
        10        62     -49.5      38.6
        31        94      25.3     -62.2
        69         7      27.9     -54.5
        62        30      -3.7      -0.3
        44        69     -35.3      32.9
         9        64     -42.5      38.8
        15         5      -5.7      -2.6
        16        15     -17.3      12.3
        77        84       -78      28.2
        78        95     -68.9      46.3
         1        89      20.3     -28.6
        19        92     -56.5      44.5
        60        51     -98.5      90.1
        67        71       -27      13.9
        27        77      62.1     -90.9
        91        86     -92.6      79.9
        69        30        13     -25.4
        24         1     -24.3        14
        90        91        67     -75.7
        82        62       7.8     -32.4
        65        36      10.6     -13.7
        59        75      33.3     -39.3
        51        44      -6.5       5.6
        29        48      85.1     -98.9
        30        41      36.8     -40.6
        81        83     -59.9      47.4
        42        18      29.9     -75.6
        98        74      80.5    -118.2
       100        47    -115.9     114.8
        91        22     -90.1      70.1
        22        59     -55.8      23.9
        52        19       0.4     -28.1
        12        87       3.8     -20.6
        60        20     -61.5      44.7
        33        26      73.6     -79.8
        51        28     -30.2      12.7
        52        64     -24.8      19.3
        35        23     -93.1      83.5
        25        61    -115.7      74.9
         5        87        38     -57.8
        54         1      -9.5       2.4
        78        69     -46.7      37.5
        96         4      11.9     -31.1
        84        33     -55.7      43.4
        84        71     -28.6        21
        53        52     -31.3      15.2
        91        93      -0.4     -16.7
        81        58      63.1     -77.3
        52        70     122.4    -136.3
         3        25      58.7     -62.5
        28        34        55       -72
        42        17      96.2    -135.8
        79        23     -41.5      16.9
        32        86       -72      33.8
        16        76       9.9     -21.8
        85        94       -21     -12.2
        44        36     -40.2      31.3
        57        70     100.1    -108.7
        29        66      47.9     -58.9
        22        11       -61      43.5
        97        19       -76      41.3
        21        31      -7.5       1.5
        88        82       -48       1.2
        56        20     -11.6      -2.1
        42        77      91.5    -105.4
        18        68      32.9     -70.7
        26        25      40.7     -40.7
        50        87     -13.4       8.1
         8        66        28     -53.2
         2        53      13.4     -46.4
        90        63     -68.1      30.9
        14        60     143.6    -146.6
        55        84     -60.9      37.9
        73        49      28.2     -47.1
        40        72     -29.7      26.6
        46        31     -73.7        60
        39        73      46.5     -60.2
        32         6     -50.7      41.2
        23        37      55.9     -71.9
