         i         j       pij       pji
        79        84     -15.2   -100000
        54        81         0         0
        32        90       -10       -10
        43        94       -10       -10
        49        35         0         0
        62        69     -22.5      -3.7
        17        93       -10       -10
        94        98     -72.4   -100000
        88        76      54.5     -64.6
        73        47     -51.9     -30.7
        66        99     -89.5      77.9
        16        33     -11.6   -100000
        94        61         0         0
        15        86       -10       -10
         8        83         0         0
        97         9       -10       -10
        40        81      11.3     -56.5
        98        33         0         0
        30        27       -10       -10
        28        20       -10       -10
        42         5      -6.7     -62.9
        42        43      28.4   -100000
         3        99       -10       -10
        84        32         0         0
        72         5     -34.8      22.3
        77        90       -10       -10
        58        67    -106.2   -100000
         5        36     -12.2     -19.7
        81        49         0         0
        23        61         0         0
        31        47       -10       -10
        88         4      91.5    -108.2
        93        96      18.8   -100000
        79        56         0         0
        90        31       -10       -10
        38        52       -10       -10
        98         9      37.5     -80.8
        96        99     -74.5   -100000
        97        91       -10       -10
        71        90       -10       -10
        99        42     -43.9      27.6
        54        18         0         0
        39        56      49.9   -100000
        34        61       -10       -10
        29        11         0         0
         6         7      -5.2   -100000
        59        87      41.8   -100000
        57         3         4       -27
        64        35      28.7     -71.3
        22         8         0         0
         4        58        -4     -11.6
        25        82       -90   -100000
       100        76     -41.4   -100000
        47        52         0         0
        11        43      34.8   -100000
        77        50         0         0
        32         7       -10       -10
        25         1       -10       -10
        99        21       -10       -10
        45        16         0         0
        87        14       -10       -10
        37        20       -10       -10
        95        41         0         0
        16        86         0         0
        64        57      19.8   -100000
        75        74     126.7   -100000
        46        84       9.4   -100000
        73        82         0         0
        90        18       9.5   -100000
        62        59       -10       -10
        92        20      69.6   -100000
         1        14     -66.1      39.5
        18        13       -10       -10
        48        91       -10       -10
        91        10       -10       -10
        78        79       -14      -1.5
        88         5         0         0
        27        79         0         0
        37        53     -38.1   -100000
        71        85         0         0
        22        99      12.6     -13.1
        89        58      15.2   -100000
        37        58       -10       -10
        56        74      69.2     -70.4
        12         2       -10       -10
        88        60     143.5   -100000
        19        62         0         0
        80        74         0         0
        99        24      89.7   -100000
        68        51     -73.2      12.8
        84         2       -49   -100000
        11        44        19   -100000
        26        76     -15.3     -14.9
        98        95         0         0
        57        70      76.2   -100000
        51        43       -10       -10
        30        63     -31.2   -100000
        65       100     138.5   -100000
        80        55     -37.6      25.8
