         i         j       pij       pji
        21         4         0         0
        14        16     212.6   -100000
        19         4         0         0
        22        20       -10       -10
        16        18       -10       -10
         7        21      -1.7    -656.5
         8         9      19.6     -68.3
         2        13         0         0
        25        16         0         0
        13         8    -388.8   -100000
         2         7    -101.3       -20
         1        13      92.2    -469.6
        16        17    -658.1     226.6
         1         6         0         0
        12        22     728.9   -100000
        12         3     131.1   -100000
        10        17     303.4   -100000
        24        18     883.4   -100000
        21        24    -706.4   -100000
        19        12    -747.6       730
         5        13       776   -100000
        23        15      51.8       -76
        11        10       -10       -10
        21        23    -545.4   -100000
