         i         j       pij       pji
        74        43         0         0
        64        29         0         0
        67        96         0         0
        72        73         0         0
        95        78         0         0
        52        43         0         0
        79        22         0         0
        98        11         0         0
        50        39         0         0
        86        81         0         0
        40         9         0         0
       100        13         0         0
         3        63         0         0
        94        70         0         0
        10        17         0         0
        94         5         0         0
        66        73         0         0
        53        79         0         0
        86         2         0         0
        41        64         0         0
         1        91         0         0
        71        36         0         0
        39        62         0         0
        96        38         0         0
        27        98         0         0
        52        20         0         0
        19        62         0         0
        88        12         0         0
        18        82         0         0
        57        16         0         0
        88        62         0         0
        83        94         0         0
        54         5         0         0
        67        76         0         0
        64        44         0         0
        47        51         0         0
        56        16         0         0
        83        93         0         0
        47        18         0         0
        86        87         0         0
        87        14         0         0
        97         2         0         0
        57        95         0         0
        27        45         0         0
        67        34         0         0
        51        41         0         0
        13        32         0         0
        22        37         0         0
        45        12         0         0
         6        21         0         0
        17        68         0         0
        59        30         0         0
        11        71         0         0
        24        32         0         0
        83        89         0         0
         5        48         0         0
         8        22         0         0
         1        14         0         0
        63         2         0         0
        75        68         0         0
        37        87         0         0
         9        85         0         0
        88        65         0         0
        36         7         0         0
         4        10         0         0
        21        56         0         0
        52        60         0         0
        48        26         0         0
        28        96         0         0
        94        60         0         0
        90        71         0         0
        74        17         0         0
         9         2         0         0
        61        51         0         0
        31        11         0         0
        45        30         0         0
        40        49         0         0
        46        89         0         0
        99        82         0         0
        42        23         0         0
        80        55         0         0
        25        35         0         0
        73        95         0         0
        71        69         0         0
        15        33         0         0
        33        23         0         0
        27        33         0         0
        25        58         0         0
        24        77         0         0
        86        84         0         0
