         i         j       pij       pji
        11        20     313.5    -314.1
        13         7    -293.5     171.5
        10        18      -306      53.3
        25        14    -686.4     616.5
         1        21    -681.9     386.7
        24        18    -560.3     160.6
        14         8     187.6    -289.3
         2        17     371.6      -617
        11        19     -38.8      11.8
        25        23    -596.6     563.2
        18        23    -147.4      59.2
        13        15    -531.7     507.8
        10        19    -308.5     290.8
        18         2     -45.4     -93.2
         1        16    -255.7     140.6
        11         9     155.2    -180.7
        20         6    -186.4     156.5
        24        16      -376     361.3
         4        25     145.3    -178.7
        21         5     -67.8     -78.4
        14         7     295.3    -387.7
        21        12     165.9    -449.8
        22         3      22.6    -125.8
        10         3    -172.5     137.4
