         i         j       pij       pji
         9        67    -520.5     507.9
        76         5    -223.6    -577.5
        33         7     237.6      -590
        99        12    -500.3     374.5
        23        30    -363.2    -289.9
         8        67    -283.9     181.2
        44        58     127.6    -136.7
        59        85    -626.5     602.7
        51        35    -545.2    -862.9
        39         9    -527.8     410.9
        16         6      -818    -153.8
        69        78    -451.8     426.6
         8        20    -272.6     155.8
        87        26      63.1      -227
        83        42      90.5    -128.9
        27        28     649.5    -997.3
        62        69     610.8    -700.1
        29         5      -421    -716.1
        10        89      -483     238.7
        67        96       421    -755.8
        15        53    -126.3     107.8
        79        72      -599    -292.8
        14        43       261    -484.8
        70        64    -106.3     -19.4
        84        31      19.7    -348.8
        35        13    -912.2     351.9
         1        69    -176.8    -563.5
        16        46     -76.2    -129.2
        99        31    -128.1     -88.6
         3        69    -115.6    -348.9
        11        98    -375.1     341.2
        14        45     430.3    -498.2
         9        43    -272.2    -218.8
        39        64      -107     -90.1
        82        52    -641.5     275.2
        85        12     190.4    -371.7
        40         6     662.7    -902.6
        21        49    -344.5    -109.9
        80        43    -736.5    -198.7
        39        16    -532.4      -138
        16        48      -4.9    -124.8
        64         3    -473.9     329.7
        76        39     762.9    -836.7
        10        79    -373.4    -452.7
        97        43    -163.5    -742.7
        37        96    -352.1       -83
        11        20    -461.2       281
        77        90    -529.7     519.9
        93        35       365    -482.3
        11        79     217.9    -266.6
        61        46    -559.4    -523.5
        94        42     -84.1    -501.9
        84        97     -43.9    -247.8
        44        93    -310.5     139.5
        64        74    -731.4     603.3
        15        98      -320     275.2
        32        45       147    -556.4
        75        41     674.8    -809.1
        87        24     584.3    -868.9
        65        93    -581.9     267.6
        89        41     283.4      -429
        86        19    -826.4    -227.2
        92        15      -8.9        -9
        12        34        61    -625.6
        89         4      14.6     -20.6
        91        99    -105.3    -406.9
        30        72      -296    -138.1
        71         6    -119.7      -763
        89        27    -435.9     269.5
        91        68     115.4    -738.6
         2        30    -674.1     195.7
        49        85    -926.5     483.1
        69        77    -373.5       370
        99        19      27.9    -238.2
        76        87    -126.7     111.5
        65        76    -211.8        98
        80        83       762    -896.2
        36        65    -617.6     125.3
        47        23    -345.8    -537.8
        90        63     318.3    -445.5
        23        18    -625.3       2.5
        52        95    -687.8         7
        11        73        65    -459.5
        79        55    -576.1     552.6
        62        66    -108.7    -622.8
        71        60     682.1    -785.5
         7         3      -277    -165.7
        30        25    -628.3     552.4
        95        34       306    -704.4
        24        17      -878     438.4
        50        98    -221.1     -19.1
        88        47      -836     471.3
        24        54    -447.7     161.1
         1        57    -850.7     258.8
        95        38     -19.7    -360.6
        61        56    -926.1    -675.4
        97       100      89.6    -308.2
        30        22     215.5    -410.1
        61        81    -644.6     205.9
