         i         j       pij       pji
         8        62     -46.5      27.8
         4        75         0     -19.9
        68        72     -48.2     -92.7
        89        33     -18.4    -160.8
        29        20     -17.6      10.6
        63        52      16.6     -31.9
        30        71    -115.1     -80.6
        92        65      24.8     -49.1
        27        60    -137.4    -141.9
        86        38      11.3     -51.9
         9        86     -37.8      16.1
        70        83    -151.2     -60.2
         2        43      71.8    -161.1
        94        25      67.5     -87.6
        47        93      18.9       -31
        57        33     -83.5      82.1
        44        97      48.6    -111.7
        34         3    -106.5      43.8
        41        77      -3.6    -142.3
        59        55     -36.1       -58
        97        20    -146.2      21.3
        97        55     -26.3     -10.5
        47        35       -53    -107.8
        19        22     -76.3     -28.4
        18        53     -84.7      42.1
        56        31    -132.2      91.1
         8        87      -6.4       5.5
        93        69    -103.9       8.4
        88        54    -103.7    -121.1
        60         1      44.1    -175.4
        35        63    -126.2     -55.2
        84        49     -31.5     -47.3
         2        11     -34.2      29.4
        42         1    -126.6     104.2
        40        64       2.4      -149
        84        44     -39.7      34.8
        49        56      28.4     -98.5
         8        89     -63.6      31.1
        52        24    -115.9       8.5
        25        63    -137.5      70.2
        26        48     -52.4    -157.4
         1        93       0.4     -67.3
         8        32      -9.8     -75.6
        27        96     -22.8     -57.5
         3        25      36.2     -78.2
        14        98    -134.6     133.1
        74         2     -58.1      53.6
        16        95    -164.4      73.3
        42        12     -15.6       -34
         4        77      26.2       -28
        61         4     -19.7     -63.8
        51        72     -19.3    -102.4
        97        99       -66      63.9
        49        19    -102.6     -64.8
        72        80    -153.4      14.6
        26        45     -87.6     -64.4
         8        38     -15.8      15.7
        15        42       114    -117.7
        97        83     -90.4      16.3
        54        78       5.7    -103.8
        29        18      28.8     -82.2
        88        92    -159.9      23.3
        24        20     -86.7      -4.1
        16        76       -65       9.6
        66        77     131.2    -133.5
        18        61     -14.3        14
        43        22    -125.9     -17.5
       100        66    -149.2       149
        83        65     -77.1      20.7
         8         5     -48.2     -96.6
        32        91    -123.3      85.9
        13        21    -145.6     -38.8
         9         4      46.2     -54.7
        52        82      57.7    -126.7
        69        16      50.3     -53.4
         7        95     -59.5       5.8
        37        65     -29.3      13.3
        85        63    -158.1      98.5
        33        71     -47.9     -66.4
         5        48       -79      61.4
        63        40      -9.4     -32.9
        39        60    -143.8      11.5
        23        72      22.1     -56.1
        48        23     -25.7     -12.2
       100        10    -146.2      25.5
        14        42       1.9      -9.9
        46        86     -63.3      54.4
        60        81      76.4      -146
        17        82      12.2     -48.6
        21        90    -138.2      -8.7
        28        60    -155.1     -31.2
        37        79       9.9     -26.1
        92         6      -3.6     -86.1
        73        50     -32.1     -94.3
        58        53     -97.2      96.4
        33        21     -20.1    -106.1
        73        95     -43.2     -14.5
        36        67      14.9     -42.5
        36        25     103.8      -123
