         i         j       pij       pji
        10        78       -90       -90
        66        99       -90       -90
         7        58       -90       -90
        18        16       -90       -90
       100        94       -90       -90
        18        83       -90       -90
        18        19       -90       -90
        92        94       -90       -90
        52        79       -90       -90
        43        45       -90       -90
        64       100       -90       -90
        36        88       -90       -90
        77        52       -90       -90
        88        56       -90       -90
        38        37       -90       -90
        60        85       -90       -90
        36        38       -90       -90
        98        97       -90       -90
         2        63       -90       -90
        87         8       -90       -90
        46        51       -90       -90
        70        21       -90       -90
        62         5       -90       -90
         7        56       -90       -90
        89        84       -90       -90
        75        74       -90       -90
        10        48       -90       -90
        92        72       -90       -90
        80        21       -90       -90
        16        40       -90       -90
        69        61       -90       -90
       100        35       -90       -90
        84        34       -90       -90
        33        95       -90       -90
        16        89       -90       -90
        45        46       -90       -90
        50        25       -90       -90
         9        21       -90       -90
        67        22       -90       -90
         1        32       -90       -90
        71        86       -90       -90
        54        55       -90       -90
        12        59       -90       -90
        25        77       -90       -90
         8        79       -90       -90
        50        78       -90       -90
        83        76       -90       -90
        31        95       -90       -90
        90        50       -90       -90
        76        15       -90       -90
        23        54       -90       -90
        20        65       -90       -90
        24        22       -90       -90
        93        99       -90       -90
        33        32       -90       -90
        46        47       -90       -90
        99        20       -90       -90
        44        16       -90       -90
        93        61       -90       -90
         9        11       -90       -90
        77        13       -90       -90
        12        26       -90       -90
        74        63       -90       -90
        73        43       -90       -90
        80        48       -90       -90
        79        41       -90       -90
        60        86       -90       -90
        22        62       -90       -90
        44        14       -90       -90
        74        30       -90       -90
        65         6       -90       -90
        26        82       -90       -90
         5        27       -90       -90
        25        96       -90       -90
        61        27       -90       -90
        40        26       -90       -90
        20         1       -90       -90
        21        17       -90       -90
        57        86       -90       -90
        54         4       -90       -90
        56        53       -90       -90
        63        61       -90       -90
        99        64       -90       -90
        39        88       -90       -90
        31        68       -90       -90
         4        34       -90       -90
        36        28       -90       -90
        53         3       -90       -90
        73        17       -90       -90
        49        31       -90       -90
        55        88       -90       -90
        29        61       -90       -90
        80        42       -90       -90
        81        43       -90       -90
        82        60       -90       -90
        33        97       -90       -90
        88        91       -90       -90
        51        76       -90       -90
        68         3       -90       -90
