         i         j       pij       pji
        43        34    -467.8     374.6
         7        30      22.1    -262.7
        34        22     133.2    -272.1
        39        44      42.2    -269.5
         5        25       1.7    -491.3
        38        43     214.5    -254.7
        23        16     -74.9    -630.9
        15        10     324.8    -377.6
        45        14     -71.4    -727.3
        43        42    -572.4     529.3
        13        43    -156.2      48.6
        38        36    -317.7     112.7
        12         1       516    -807.2
        45         4     515.4    -739.8
        19        23      -437     178.5
        34        29     534.3    -547.4
        43        24     -41.3    -213.5
        15        47     149.7    -621.2
        39        30     193.1    -245.8
        15         4     568.1      -574
         6        30    -190.1     133.5
        33        28     670.5    -711.4
         2        19     -26.6    -261.8
        47        32     -89.7    -267.9
         6        50     -59.7      -261
        46        40     -51.9      44.8
         9        36    -406.6     370.7
        14        39    -423.5     173.9
        39        41     417.8    -426.5
        44        19     239.8    -524.4
         4        21    -734.1     329.6
        14        20    -382.8     -62.6
        42        16     226.2      -880
         1         3    -545.5     292.8
        44        33    -237.7     135.6
        13        37    -178.3      67.5
        49        29     245.4    -261.5
        10        18      -131    -281.1
        41        26       436    -473.9
         5        15    -181.4     158.9
        31        45      99.8    -146.5
        48        22    -317.6        40
        27        44      53.4    -189.8
        21        12      -406    -164.2
        29        40    -384.9     355.6
        17        47      -435     398.4
        49        11    -326.7       270
        35        26     166.1    -256.4
         8        10     147.6    -195.6
